monstres_tues,duree_quete_jours,prime_pieces_or
5.0,7.639078914904578,527
37.0,6.446116307617952,2843
38.0,4.246685062917237,2469
30.0,3.980380057952387,2016
9.0,3.0205847738919065,166
34.0,5.093090791510471,2230
44.0,5.716231579008742,4031
35.0,2.0188551534556005,2218
22.0,7.314438028414726,915
44.0,5.052484398933932,3719
24.0,4.2439046824073134,1359
17.0,2.969530811951995,482
10.0,7.810558488342309,247
30.0,6.017234469573146,1852
46.0,6.725111686065432,4383
23.0,4.783170932888188,918
32.0,8.23343122419061,2414
17.0,6.647102956822051,893
17.0,7.645733520975442,1145
14.0,7.327530209642452,125
9.0,3.754068083247778,219
40.0,5.412342242034334,2727
2.0,7.66832760658324,-325
45.0,5.977784640049496,4276
25.0,3.02422651847481,1216
39.0,5.177849489041953,2755
9.0,6.633081508171208,399
22.0,2.0832297066060423,1070
43.0,3.06168694026453,2982
46.0,2.157799694445371,4565
4.0,5.950119919446502,53
26.0,8.118802475747966,1192
29.0,1.0,1279
45.0,5.416430015538357,4191
34.0,3.727509256355456,2169
23.0,8.416661056462345,1018
37.0,5.435689922279018,2757
11.0,6.710249405936915,403
6.0,7.784999998111951,162
18.0,5.351990931941256,1105
21.0,1.3954545451713831,350
42.0,4.762233090129331,3358
36.0,5.420781186402191,2919
41.0,2.652340772781584,3982
38.0,1.2240250606348655,3238
34.0,2.235153545791549,2465
17.0,7.661894304090418,845
37.0,2.664139806564942,2993
25.0,10.613093780268606,1083
38.0,7.86338953214714,3075
12.0,6.831710081908891,2
23.0,1.9075520419300416,1100
42.0,7.812616241063365,3386
22.0,3.992977896052238,1113
21.0,1.3368678831775322,724
27.0,5.51377633953132,1483
31.0,5.906054568432378,1624
6.0,3.403608421279312,-37
27.0,3.797892461772971,1809
40.0,4.643385968626252,2645
34.0,4.590999990244627,2333
12.0,6.497085254501224,713
45.0,4.450263023489901,4320
7.0,8.290853654246485,128
10.0,5.631620845058711,428
45.0,1.6802734734373286,3830
17.0,7.309027704798733,802
26.0,3.3181372018978013,1723
21.0,7.283085932736274,956
28.0,5.683206652330257,1872
46.0,3.365480057779897,3929
2.0,4.164350531405927,-338
43.0,5.91260544997759,3935
1.0,5.543097666812368,746
36.0,6.90887019930458,2623
26.0,5.865526038832858,1621
29.0,4.999745410257895,804
21.0,5.2067965355009935,1068
11.0,4.622812790928335,97
40.0,6.054919296739188,3804
11.0,5.839079303039229,477
36.0,5.513414471588417,2620
49.0,9.60448430527439,4643
39.0,5.76003678796938,3430
40.0,7.460991140129701,3596
35.0,3.698246457284253,2210
34.0,5.020874179657656,2666
47.0,1.0,4723
24.0,5.178537069319482,1237
22.0,3.774358424421816,1219
5.0,3.5862331623617063,222
33.0,5.429434824683474,1869
36.0,4.194641230325581,2702
47.0,1.9130276944771865,4381
20.0,4.591951661371147,476
19.0,12.093286736483304,493
35.0,5.8436454180217785,1955
43.0,5.557892277918733,3179
17.0,2.737794367510096,406
45.0,2.5164808464836006,4384
43.0,3.128313782514004,3312
34.0,5.560625450730566,1954
9.0,2.558178897073877,738
26.0,7.858455274527053,1071
2.0,2.676341137514829,18
9.0,6.615040922196787,316
9.0,5.53511946361794,106
40.0,8.008393365892635,3190
17.0,2.8112755153721403,338
1.0,11.1356833428179,-187
25.0,5.379926291028315,1350
43.0,7.394727763488014,3341
40.0,5.784984688357994,3632
42.0,2.876021918413756,2992
25.0,3.4629752931824624,1316
39.0,5.050227692825664,2726
35.0,3.4554300761785965,2593
3.0,5.297742946435235,-271
37.0,6.764659586054937,2919
44.0,7.56331396162633,4120
44.0,8.339802148407962,4147
30.0,4.909470986225271,1656
38.0,4.153259596224248,3342
34.0,1.5346129085154638,2329
12.0,1.0,276
19.0,4.8056184465205245,890
37.0,7.504865236755981,2252
44.0,5.241869584486213,3806
49.0,5.834929857219931,4914
17.0,2.957253021655433,405
10.0,4.106110546345191,191
49.0,7.339021289968515,5308
47.0,5.885140697747983,4181
12.0,4.070452523701504,531
16.0,6.33866952971025,328
24.0,5.243829369537594,1179
19.0,7.169987427237668,886
8.0,5.973728840302295,378
31.0,4.344652159169446,2036
21.0,4.554748922717266,1108
17.0,2.2571550186893266,526
23.0,1.7623433929868615,930
37.0,4.11378965523615,3050
16.0,7.706742090165708,-36
6.0,5.855619514782727,-46
8.0,4.416659025927079,56
25.0,6.32072940140776,1307
18.0,7.231358270036635,922
25.0,3.7809475115325153,1314
12.0,3.790448488302084,225
15.0,11.383107642132462,706
26.0,3.215423989267424,1439
41.0,3.895430394780001,3403
45.0,4.28468260985725,4533
26.0,3.002655137574365,1644
47.0,1.147183305357215,5215
32.0,5.181481832601012,1465
10.0,3.743723102143385,590
16.0,5.887639407352147,961
7.0,3.3291661042423,-105
17.0,7.516539290442223,547
23.0,4.8943447443012165,1086
26.0,3.3187928374782003,1219
21.0,3.634059615974577,782
22.0,4.495585785493745,1962
7.0,7.738275563679402,103
14.0,3.833765534363609,571
15.0,1.7788186788758913,563
7.0,8.482152229121034,130
9.0,1.3913824178152172,-175
48.0,9.70468009683191,4902
8.0,1.3172984054840362,114
23.0,4.214389053088621,593
29.0,4.124983822710807,1733
18.0,6.753498865439708,744
31.0,6.397623731718145,2273
30.0,8.895885369075629,1400
39.0,1.9616448158731288,3008
35.0,1.547747171775741,2247
18.0,7.099689305973689,402
42.0,9.546092149045082,3600
39.0,7.441452824506486,2912
17.0,6.473441490427606,732
14.0,7.374763445176293,128
